index,suggestion_last_translation_result,HTER
0,[0.45796022],10.0
1,[0.34823611],26.666666666666668
2,[1.],0.0
3,[0.2551567],25.0
4,[1.],0.0
5,[1.],0.0
6,[1.],0.0
7,[1.],0.0
8,[1.],0.0
9,[1.],0.0
10,[0.9999946],0.0
11,[1.],0.0
12,[1.],0.0
13,[0.24083879],2.5
14,[0.58256758],13.043478260869565
15,[1.],0.0
16,[1.],0.0
17,[0.92996633],3.571428571428571
18,[1.],0.0
19,[0.99998727],0.0
20,[0.88873451],40.0
21,[0.37419459],54.054054054054056
22,[0.07297165],13.043478260869565
23,[1.],0.0
24,[0.262044],18.181818181818183
25,[0.53312315],19.047619047619047
26,[0.38392092],31.818181818181817
27,[0.89730388],33.33333333333333
28,[0.08235294],14.285714285714285
29,[0.32387238],3.8461538461538463
30,[0.14772374],44.44444444444444
31,[0.59087052],6.521739130434782
32,[0.62301003],38.46153846153847
33,[0.70466358],5.0
34,[1.],0.0
35,[1.],0.0
36,[0.93771203],8.695652173913043
37,[1.],0.0
38,[1.],0.0
39,[1.],0.0
40,[1.],0.0
41,[0.92369205],12.12121212121212
42,[0.67526717],5.555555555555555
43,[1.],0.0
44,[1.],0.0
45,[1.],0.0
46,[1.],0.0
47,[1.],0.0
48,[1.],0.0
49,[1.],0.0
50,[1.],0.0
51,[1.],0.0
52,[1.],0.0
53,[0.872334],16.666666666666664
54,[1.],0.0
55,[1.],0.0
56,[1.],0.0
57,[1.],0.0
58,[0.22222222],55.55555555555556
59,[0.97934147],2.941176470588235
60,[0.51185423],12.5
61,[0.36429964],9.090909090909092
62,[1.],0.0
63,[0.65272543],17.391304347826086
64,[0.58870127],22.727272727272727
65,[1.],0.0
66,[0.55513388],7.4074074074074066
67,[1.],0.0
68,[1.],0.0
69,[1.],0.0
70,[0.981426],2.941176470588235
71,[1.],0.0
72,[1.],0.0
73,[1.],0.0
74,[0.93880542],4.545454545454546
75,[0.41900748],5.0
76,[1.],0.0
77,[1.],0.0
78,[1.],0.0
79,[1.],0.0
80,[1.],0.0
81,[1.],0.0
82,[1.],0.0
83,[1.],0.0
84,[1.],0.0
85,[1.],0.0
86,[1.],0.0
87,[1.],0.0
88,[1.],0.0
89,[1.],0.0
90,[1.],0.0
91,[0.7240682],11.940298507462686
92,[1.],0.0
93,[1.],0.0
94,[0.47801973],20.833333333333336
95,[1.],0.0
96,[0.27075373],19.23076923076924
97,[1.],0.0
98,[1.],0.0
99,[1.],0.0
100,[1.],0.0
101,[1.],0.0
102,[1.],0.0
103,[1.],0.0
104,[1.],0.0
105,[1.],0.0
106,[1.],0.0
107,[1.],0.0
108,[1.],0.0
109,[0.86947768],20.0
110,[1.],0.0
111,[0.99996201],0.0
112,[1.],0.0
113,[1.],0.0
114,[1.],0.0
115,[1.],0.0
116,[1.],0.0
117,[1.],0.0
118,[1.],0.0
119,[1.],0.0
120,[1.],0.0
121,[1.],0.0
122,[1.],0.0
123,[0.78418281],7.6923076923076925
124,[0.36500063],10.0
125,[1.],0.0
126,[1.],0.0
127,[1.],0.0
128,[1.],0.0
129,[0.65700344],7.4074074074074066
130,[1.],0.0
131,[1.],0.0
132,[1.],0.0
133,[1.],0.0
134,[0.22100122],25.0
135,[1.],0.0
136,[1.],0.0
137,[0.65808],6.153846153846154
138,[0.60214465],15.789473684210526
139,[1.],0.0
140,[1.],0.0
141,[0.47392806],11.11111111111111
142,[0.12805128],10.714285714285714
143,[0.8336291],16.0
144,[0.65737192],11.538461538461538
145,[1.],0.0
146,[0.94303942],20.0
147,[0.58229289],10.0
148,[1.],0.0
149,[0.94985905],6.25
150,[1.],0.0
151,[1.],0.0
152,[0.44421455],5.88235294117647
153,[0.64577653],13.79310344827586
154,[0.40466464],26.666666666666668
155,[0.45312639],10.714285714285714
156,[1.],0.0
157,[1.],0.0
158,[1.],0.0
159,[0.960204],4.0
160,[0.15719719],42.85714285714285
161,[0.31138982],27.58620689655172
162,[1.],0.0
163,[1.],0.0
164,[0.38476443],13.953488372093023
165,[0.49732812],7.142857142857142
166,[1.],0.0
167,[1.],0.0
168,[0.29056696],13.333333333333334
169,[1.],0.0
170,[1.],0.0
171,[1.],0.0
172,[1.],0.0
173,[0.8644206],21.428571428571427
174,[1.],0.0
175,[1.],0.0
176,[1.],0.0
177,[0.60407344],7.6923076923076925
178,[0.25517922],9.523809523809524
179,[0.45507011],13.043478260869565
180,[0.94315829],8.333333333333332
181,[0.52460063],3.125
182,[1.],0.0
183,[1.],0.0
184,[1.],0.0
185,[0.1658034],33.33333333333333
186,[0.72932222],14.285714285714285
187,[0.41918314],9.090909090909092
188,[0.98746565],3.0303030303030303
189,[1.],0.0
190,[0.35537274],12.5
191,[0.89193422],10.714285714285714
192,[1.],0.0
193,[1.],0.0
194,[1.],0.0
195,[1.],0.0
196,[0.58796089],16.666666666666664
197,[0.68170189],20.0
198,[0.25451641],11.538461538461538
199,[0.94449166],2.1739130434782608
200,[0.9713144],1.851851851851852
201,[0.22428293],33.33333333333333
202,[0.68138191],6.896551724137931
203,[1.],0.0
204,[1.],0.0
205,[1.],0.0
206,[1.],0.0
207,[1.],0.0
208,[0.30574713],6.666666666666667
209,[1.],0.0
210,[1.],0.0
211,[1.],0.0
212,[1.],0.0
213,[0.69569937],7.142857142857142
214,[1.],0.0
215,[0.28605308],30.76923076923077
216,[1.],0.0
217,[1.],0.0
218,[1.],0.0
219,[1.],0.0
220,[0.15234446],40.909090909090914
221,[1.],0.0
222,[0.44778727],25.0
223,[1.],0.0
224,[0.71522975],6.8181818181818175
225,[1.],0.0
226,[0.9665359],2.127659574468085
227,[0.89228243],6.666666666666667
228,[1.],0.0
229,[1.],0.0
230,[0.68947779],7.142857142857142
231,[0.88075169],15.789473684210526
232,[0.94223979],10.0
233,[1.],0.0
234,[1.],0.0
235,[1.],0.0
236,[1.],0.0
237,[1.],0.0
238,[1.],0.0
239,[1.],0.0
240,[0.63142914],11.11111111111111
241,[0.69891005],2.857142857142857
242,[0.90110079],28.57142857142857
243,[1.],0.0
244,[1.],0.0
245,[1.],0.0
246,[1.],0.0
247,[1.],0.0
248,[1.],0.0
249,[1.],0.0
250,[1.],0.0
251,[0.32199987],40.0
252,[0.56626781],36.36363636
253,[0.81728395],33.33333333
254,[0.2869861],18.42105263
255,[0.93153153],10.52631579
256,[0.93224401],37.5
257,[0.92311033],14.28571429
258,[0.91608392],50.0
259,[0.34668996],27.5862069
260,[0.92944926],7.407407407
261,[0.13037138],41.66666667
262,[0.47431603],4.347826087
263,[0.37782343],30.0
264,[0.20721741],43.47826087
265,[0.15418803],18.75
266,[0.35101859],5.555555556
267,[0.94203832],14.28571429
268,[0.36186712],33.33333333
269,[0.53519226],23.07692308
270,[0.36039184],26.66666667
271,[0.92304039],5.405405405
272,[0.29780059],17.39130435
273,[0.0917247],9.090909091
274,[0.24789752],18.18181818
275,[0.9562008],4.761904762
276,[0.86911981],31.81818182
277,[0.94063245],16.66666667
278,[0.94716202],7.142857143
279,[0.32025675],3.846153846
280,[0.50610871],11.11111111
281,[0.76474835],4.347826087
282,[0.95879599],15.38461538
283,[0.5218666],2.5
284,[0.95609937],21.42857143
285,[0.39087089],13.33333333
286,[0.9541717],8.695652174
287,[0.92951428],23.07692308
288,[0.94255432],6.666666667
289,[0.44018335],11.76470588
290,[0.96290323],5.882352941
291,[0.24630953],24.24242424
292,[0.56773535],22.22222222
293,[0.90231133],18.18181818
294,[0.55175937],12.0
295,[0.4509902],7.407407407
296,[0.91062271],42.85714286
297,[0.82200658],16.21621622
298,[0.28085302],14.81481481
299,[0.3965972],26.08695652
300,[0.59042526],15.78947368
301,[0.96004101],11.76470588
302,[0.61477689],21.15384615
303,[0.53932737],10.0
304,[0.9346348],12.5
305,[0.9040293],20.0
306,[0.09360269],20.0
307,[0.59656136],8.0
308,[0.28895769],33.33333333
309,[0.94481118],14.70588235
310,[0.49771434],18.75
311,[0.84605959],18.18181818
312,[0.52895906],37.5
313,[0.4689708],4.347826087
314,[0.27753656],27.27272727
315,[0.58139045],11.76470588
316,[0.20177739],33.33333333
317,[0.21347814],45.45454545
318,[0.01794872],40.0
319,[0.44409986],8.333333333
320,[0.95716195],2.941176471
321,[0.28978001],37.5
322,[0.24378833],33.33333333
323,[0.45515556],15.0
324,[0.93407464],9.090909091
325,[0.87829861],10.0
326,[0.34508514],7.407407407
327,[0.4720315],7.142857143
328,[0.28146492],9.090909091
329,[0.35639872],28.57142857
330,[0.89778745],11.42857143
331,[0.9522728],5.0
332,[0.44924798],8.333333333
333,[0.95356204],11.53846154
334,[0.33003096],12.5
335,[0.19878443],31.25
336,[0.46917919],5.882352941
337,[0.45524601],12.5
338,[0.89601276],60.0
339,[0.93139601],25.0
340,[0.94003236],13.04347826
341,[0.21786471],2.985074627
342,[0.28742369],37.5
343,[0.83538106],7.272727273
344,[0.4863775],12.5
345,[0.949914],10.0
346,[0.40333405],11.53846154
347,[0.5425641],7.142857143
348,[0.54137401],26.66666667
349,[0.84178372],16.66666667
350,[0.35318126],17.85714286
351,[0.25824176],20.0
352,[0.46471902],23.80952381
353,[0.9294167],10.71428571
354,[0.1357025],45.0
355,[0.95414462],6.666666667
356,[0.97221822],7.407407407
357,[0.95291677],6.060606061
358,[0.53133103],26.92307692
359,[0.45378917],6.666666667
360,[0.4738897],10.0
361,[0.83373219],23.52941176
362,[0.42446312],23.07692308
363,[0.02941176],18.18181818
364,[0.93926421],27.27272727
365,[0.94060545],10.25641026
366,[0.26970708],9.090909091
367,[0.7872514],33.33333333
368,[0.95881157],8.0
369,[0.34431616],17.94871795
370,[0.19725955],23.07692308
371,[0.26868523],11.53846154
372,[0.42600947],9.090909091
373,[1.],0.0
374,[0.91832318],5.0
375,[0.88759734],12.5
376,[0.20528015],15.78947368
377,[0.95681976],6.52173913
378,[0.31188406],9.090909091
379,[0.9445032],7.407407407
380,[0.41680268],12.76595745
381,[0.51083894],25.0
382,[0.93217792],3.703703704
383,[0.46802002],7.692307692
384,[0.14529915],12.5
385,[0.16379447],11.76470588
386,[0.38444761],33.33333333
387,[0.32491762],16.92307692
388,[0.96330744],10.52631579
389,[0.39200203],9.523809524
390,[0.2161325],14.70588235
391,[0.95332475],11.11111111
392,[0.18834658],42.85714286
393,[0.9377057],8.0
394,[0.24118824],38.46153846
395,[0.16514161],57.14285714
396,[1.],0.0
397,[0.72674808],10.0
398,[0.89958037],7.142857143
399,[0.48485524],21.875
400,[0.50983766],21.05263158
401,[0.27511136],40.0
402,[0.94956009],8.823529412
403,[0.80180083],8.620689655
404,[0.93617817],6.666666667
405,[0.86140748],25.0
406,[0.32447958],13.33333333
407,[0.89207977],23.07692308
408,[0.75393832],16.66666667
409,[0.93285024],8.0
410,[0.62686409],10.71428571
411,[0.44935023],24.13793103
412,[0.93542825],5.263157895
413,[0.95076792],9.677419355
414,[0.63596066],20.93023256
415,[0.94237537],7.142857143
416,[0.96778157],3.333333333
417,[0.77596838],27.27272727
418,[0.26852395],26.66666667
419,[0.87467557],19.04761905
420,[0.95882279],9.090909091
421,[0.61755115],4.347826087
422,[0.44274406],10.0
423,[0.14091223],35.71428571
424,[0.44984082],9.523809524
425,[0.60489512],23.80952381
426,[0.96586684],13.33333333
427,[0.48778741],10.25641026
428,[0.54487344],14.28571429
429,[0.94836641],4.347826087
430,[0.30766046],16.66666667
431,[0.75701084],9.375
432,[0.14275886],44.44444444
433,[0.92835857],25.0
434,[0.90987272],20.0
435,[0.93116124],16.66666667
436,[0.94561058],2.857142857
437,[1.],0.0
438,[0.36747499],12.12121212
439,[0.33832129],50.0
440,[0.97827823],2.5
441,[0.86338095],21.42857143
442,[0.86789496],20.0
443,[0.30478156],22.22222222
444,[0.09405508],6.25
445,[0.91684935],5.263157895
446,[0.95708189],11.11111111
447,[0.95741565],13.33333333
448,[0.35874286],19.23076923
449,[0.43415534],6.52173913
450,[0.45115872],3.703703704
451,[-0.02634364],77.77777778
452,[0.71669916],17.24137931
453,[0.92389427],13.33333333
454,[0.94227344],4.0
455,[0.58752611],16.66666667
456,[0.0565782],33.33333333
457,[0.36143791],42.85714286
458,[0.29869245],6.666666667
459,[0.97282913],11.11111111
460,[0.24811594],8.333333333
461,[1.],0.0
462,[0.64942448],30.0
463,[0.44732768],14.28571429
464,[0.95377972],7.142857143
465,[0.21535855],38.46153846
466,[0.94471636],8.695652174
467,[0.60534115],3.846153846
468,[0.33113175],12.5
469,[0.96391538],2.857142857
470,[0.12247157],36.36363636
471,[0.45176177],9.756097561
472,[0.4],50.0
473,[0.2703732],5.263157895
474,[0.95075061],4.545454545
475,[0.29916574],29.41176471
476,[0.951124],4.255319149
477,[0.05552466],26.66666667
478,[0.94836601],11.11111111
479,[0.49599555],25.0
480,[0.35411252],46.42857143
481,[0.17144073],42.10526316
482,[1.],0.0
483,[0.42372625],10.0
484,[0.95255921],4.761904762
485,[0.58900749],5.0
486,[0.58424207],23.07692308
487,[1.],0.0
488,[0.92063318],27.77777778
489,[0.93444873],4.347826087
490,[0.5425742],11.11111111
491,[0.93115866],11.42857143
492,[1.],0.0
493,[0.34392711],26.66666667
494,[0.37009325],9.090909091
495,[0.30572594],6.666666667
496,[0.42424875],6.060606061
497,[0.9606243],7.692307692
498,[0.51592239],8.823529412
499,[0.22858617],66.66666667
